,freight_value,price,payment_value,payment_installments,payment_sequential
14875,37.19,179.9,217.09,10,1
89516,13.64,89.0,102.64,2,1
58509,14.69,335.9,350.59,1,1
41801,23.42,119.9,143.32,2,1
9798,24.9,629.9,654.8,6,1
23803,17.97,55.99,10.84,1,4
90638,8.31,149.9,158.21,1,1
1413,48.45,110.0,475.35,1,1
34316,22.72,269.0,291.72,1,1
60300,18.3,149.88,672.72,1,1
52419,67.08,629.0,696.08,10,1
28747,21.13,69.9,91.03,7,1
78354,9.03,51.0,192.37,1,1
74075,13.33,95.0,108.33,2,1
96944,12.79,17.0,178.74,1,1
39650,26.82,169.9,228.33,2,1
98883,15.1,23.7,77.6,1,1
59138,15.27,74.9,180.34,2,1
35138,21.1,86.9,108.0,10,1
69446,15.1,17.9,33.0,1,1
33420,18.3,149.9,168.2,8,1
92242,14.1,29.99,44.09,1,1
11643,13.51,24.18,37.69,3,1
53042,19.63,199.0,218.63,10,1
63746,19.05,167.0,186.05,1,1
67034,19.45,224.0,243.45,3,1
25756,18.28,24.99,43.27,1,1
99859,25.63,22.0,47.63,1,1
50180,23.01,99.0,122.01,6,1
73759,19.83,279.0,298.83,6,1
46377,20.8,42.99,63.79,1,1
56189,14.11,155.0,16.87,1,2
96043,14.66,129.0,143.66,10,1
3614,12.69,38.4,306.54,10,1
38144,13.93,49.9,63.83,1,1
2989,9.0,35.0,10.85,1,2
53604,22.34,209.99,484.65,2,1
64508,7.87,99.0,169.73,1,1
11181,15.91,143.8,159.71,1,1
61778,14.1,17.5,126.4,6,1
84398,0.0,53.9,107.8,2,1
13602,26.47,169.9,196.37,1,1
103113,12.79,17.99,30.78,1,1
81789,17.92,308.99,326.91,3,1
21656,14.93,109.0,371.79,7,1
107173,18.23,39.9,111.26,6,1
111512,8.88,35.0,43.88,1,1
65156,7.78,55.0,62.78,1,1
104957,16.09,190.9,5.34,1,1
27295,4.5,24.99,117.96,2,1
47468,34.88,160.0,194.88,3,1
60975,15.45,98.0,36.75,1,2
18247,22.93,46.0,2.72,1,6
8114,37.03,1199.0,1341.26,1,1
30829,19.32,25.0,44.32,1,1
75896,50.85,25.5,76.35,3,1
14317,9.49,159.99,169.48,1,1
14476,20.33,318.98,339.31,1,1
66281,13.45,145.0,108.45,5,1
83080,27.13,150.0,177.13,1,1
12899,14.63,65.9,161.06,1,1
67126,15.87,159.9,175.77,4,1
86043,45.72,179.99,225.71,1,1
48553,22.08,209.99,232.07,1,1
14377,27.58,89.99,117.57,2,1
31992,18.55,102.9,121.45,2,1
29875,16.04,105.0,121.04,4,1
89213,17.8,79.0,96.8,1,1
101736,9.0,144.9,307.8,10,1
84158,17.67,49.0,66.67,1,1
10039,84.59,200.0,113.7,1,2
38656,18.23,30.5,48.73,4,1
99277,7.39,12.9,20.29,1,1
55515,25.18,149.9,175.08,1,1
23945,15.63,59.99,75.62,1,1
42611,25.46,165.0,380.92,1,1
15149,18.4,43.0,61.4,1,1
28611,22.73,63.9,173.26,1,1
76834,27.37,136.9,328.54,10,1
2104,39.26,269.9,309.16,5,1
31801,21.55,67.0,88.55,1,1
100389,18.31,29.9,48.21,1,1
10970,17.53,117.3,134.83,1,1
106100,13.86,119.9,133.76,7,1
7863,18.36,36.9,55.26,1,1
45566,14.7,54.99,69.69,2,1
54750,44.26,69.9,114.16,8,1
33671,15.57,98.75,114.32,3,1
67947,16.19,155.97,172.16,3,1
31955,18.23,18.8,37.03,3,1
37794,18.37,38.79,57.16,2,1
75170,31.98,349.9,381.88,10,1
110848,17.06,47.6,64.66,1,1
80297,19.19,129.9,149.09,3,1
50913,18.26,144.99,163.25,3,1
82287,15.79,19.99,35.78,2,1
110104,25.14,334.9,360.04,1,1
62569,31.19,199.0,230.19,10,1
50244,16.71,279.9,296.61,2,1
45888,22.03,219.9,241.93,8,1
105126,7.95,98.9,106.85,1,1
105084,7.39,14.9,22.29,1,1
56074,15.44,98.9,114.34,3,1
66058,13.35,279.64,292.99,8,1
55806,7.74,79.9,87.64,4,1
41447,15.1,28.99,88.19,2,1
105774,22.06,27.5,49.56,1,1
18490,13.44,59.9,73.34,1,1
76410,14.13,54.49,68.62,3,1
102013,13.47,30.9,88.74,1,1
92771,7.78,29.99,18.89,1,1
107602,14.1,49.9,64.0,3,1
21201,17.78,72.0,89.78,1,1
34848,15.38,89.9,105.28,1,1
52968,7.34,159.2,50.0,1,2
85755,17.67,59.9,77.57,1,1
1002,50.0,119.99,169.99,5,1
29413,27.71,121.0,148.71,7,1
77361,17.72,66.9,84.62,8,1
60355,18.19,134.0,304.38,1,1
106750,11.85,29.99,41.84,1,1
98272,16.79,19.9,36.69,1,1
6657,17.78,41.9,119.36,1,1
75735,15.1,34.9,50.0,1,1
37178,12.65,134.9,100.0,1,2
100437,14.66,49.9,64.56,1,1
69884,8.11,29.9,38.01,1,1
38269,17.93,59.9,180.04,5,1
78496,18.56,65.5,84.06,1,1
80838,9.31,159.0,168.31,5,1
82064,36.77,207.5,244.27,2,1
41475,12.96,88.9,101.86,6,1
46043,14.1,48.99,63.09,3,1
19444,15.6,99.0,229.2,3,1
13846,36.88,249.9,286.78,3,1
304,18.73,144.99,163.72,8,1
60214,38.81,137.9,176.71,1,1
33100,29.49,320.0,349.49,1,1
106450,15.16,59.0,74.16,1,1
94942,14.1,13.98,28.08,1,1
110234,26.89,35.9,62.79,6,1
71108,16.35,84.99,101.34,4,1
11820,15.07,108.9,123.97,2,1
87355,9.24,69.99,79.23,3,1
81920,20.21,39.9,231.94,1,1
77998,10.96,23.4,34.36,1,1
44958,11.73,35.9,47.63,3,1
105415,8.27,32.9,41.17,1,1
30862,17.6,43.98,61.58,1,1
93894,7.78,18.9,26.68,1,1
39049,15.1,19.9,35.0,1,1
4009,7.78,31.0,38.78,1,1
74120,13.21,110.0,123.21,1,1
102549,15.65,109.8,125.45,8,1
61945,21.68,189.0,421.35,10,1
80204,8.75,79.99,88.74,1,1
1637,20.15,94.9,115.05,1,1
94600,30.44,170.0,1202.64,6,1
84163,17.6,49.9,67.5,1,1
96101,15.65,9.9,25.55,1,1
105177,12.93,85.0,97.93,1,1
103100,8.35,87.0,95.35,1,1
65764,8.3,149.0,157.3,7,1
7696,19.39,59.9,158.58,1,1
42909,47.69,139.9,187.59,4,1
77353,16.15,74.9,91.05,4,1
92796,14.1,23.99,30.0,1,2
73083,22.13,59.9,82.03,3,1
68479,11.93,189.0,200.93,3,1
102820,23.83,215.56,239.39,1,2
98461,12.48,18.9,31.38,1,1
32017,25.73,129.97,155.7,1,1
112335,11.76,79.9,91.66,3,1
28727,34.36,1149.0,173.38,1,2
21194,18.38,86.99,105.37,1,1
65280,7.8,78.0,40.46,1,2
32782,17.06,19.89,36.95,1,1
6091,13.08,69.9,165.96,1,1
46423,17.63,44.9,62.53,1,1
76013,41.14,145.0,276.74,1,1
86428,26.25,89.99,116.24,4,1
51740,11.85,46.9,117.5,3,1
40393,16.32,79.9,96.22,1,1
60875,11.85,44.0,55.85,1,1
9149,14.28,75.9,541.08,6,1
103340,7.87,32.49,40.36,1,1
7119,9.34,12.99,44.66,1,1
97435,14.99,98.6,113.59,4,1
19530,25.73,65.0,90.73,1,1
96252,13.46,280.0,293.46,1,1
89476,13.64,89.0,13.78,1,1
99308,15.1,11.55,26.65,1,1
26537,39.46,169.9,209.36,1,1
16990,15.38,89.99,105.37,3,1
42507,32.01,129.0,322.02,8,1
79660,2.74,49.99,80.44,1,2
29746,11.85,19.9,31.75,1,1
32026,61.74,139.97,403.42,8,1
9679,23.18,89.9,113.08,2,1
3337,37.77,250.0,287.77,10,1
70940,25.63,34.99,60.62,5,1
82361,7.78,39.9,47.68,1,1
56596,15.1,20.0,35.1,1,1
80586,14.39,149.9,164.29,2,1
67647,38.22,219.0,257.22,2,1
54105,10.96,29.99,40.95,1,1
77997,15.1,37.9,53.0,1,1
71396,11.73,49.99,61.72,1,1
45402,19.38,15.9,156.93,5,1
95846,15.1,45.0,60.1,6,1
100989,15.1,38.7,53.8,2,1
55787,15.44,79.9,190.68,1,1
102105,22.35,60.0,494.1,10,1
80286,7.78,29.99,37.77,1,1
22372,11.85,9.0,1.47,1,5
93120,15.1,21.99,37.09,1,1
63801,17.58,229.9,247.48,4,1
19482,15.23,36.9,52.13,1,1
1938,22.57,99.9,122.47,2,1
8501,23.03,79.9,795.61,10,1
41502,13.25,29.99,86.48,4,1
110387,13.47,64.9,78.37,1,1
78094,23.78,89.7,113.48,8,1
85754,13.44,59.9,73.34,1,1
101863,16.48,102.9,119.38,2,1
64837,3.81,29.0,132.68,1,1
35696,17.81,79.9,97.71,1,1
59462,15.59,120.0,135.59,1,1
72983,16.46,99.9,349.08,10,1
27022,33.03,79.0,112.03,1,1
50875,21.93,144.99,166.92,1,1
112339,17.81,79.9,97.71,9,1
107029,14.1,14.9,28.47,1,2
17917,28.67,52.0,80.67,2,1
30127,16.11,7.9,0.48,1,1
33944,64.29,229.9,294.19,4,1
62357,8.43,95.0,103.43,2,1
81675,18.43,122.99,141.42,4,1
74050,8.53,110.0,237.06,5,1
100013,12.89,79.0,91.89,1,1
26605,18.79,98.9,117.69,6,1
84234,13.37,49.9,316.35,10,1
42862,27.52,138.0,165.52,6,1
19554,13.97,69.9,83.87,1,1
104572,15.1,19.5,34.6,1,1
60249,38.81,137.9,706.84,1,1
43291,25.95,158.0,183.95,1,1
23673,21.36,79.9,101.26,3,1
39471,26.59,72.75,99.34,1,1
38064,15.1,49.95,65.05,1,1
101832,25.8,74.9,100.7,3,1
33918,27.12,149.0,176.12,1,1
8880,44.81,38.9,418.55,1,1
107198,22.16,32.9,55.06,1,1
104216,12.4,99.99,112.39,1,1
36124,12.93,69.9,165.66,10,1
41370,12.79,39.99,263.9,8,1
65905,21.28,788.42,499.72,1,2
75125,8.72,50.9,59.62,5,1
9420,15.11,15.45,61.12,1,1
8236,17.95,99.9,117.85,8,1
59361,13.83,69.9,83.73,2,1
62490,16.0,178.9,194.9,5,1
20206,20.9,65.0,137.7,10,1
89058,17.8,79.0,96.8,1,1
57161,15.23,49.99,17.9,1,2
84098,21.35,53.9,75.25,7,1
89154,14.78,99.0,113.78,1,1
57658,7.78,28.9,36.68,1,1
57914,15.36,87.8,206.32,5,1
44607,38.67,159.9,198.57,5,1
2623,17.08,119.0,136.08,2,1
81534,18.35,369.9,776.5,1,1
38047,12.69,49.95,62.64,3,1
43630,17.78,75.5,93.28,2,1
84692,26.43,49.9,76.33,1,1
80615,10.13,199.9,210.03,1,1
20066,7.39,39.9,94.58,1,1
47525,17.99,59.9,40.0,1,2
111105,38.95,159.0,197.95,2,1
45659,22.27,149.9,384.34,8,1
90514,18.61,104.49,123.1,2,1
47200,14.45,99.99,114.44,1,1
33389,23.73,49.9,73.63,3,1
91620,24.93,62.8,37.74,1,1
18432,17.99,59.9,155.78,2,1
22992,17.37,132.9,150.27,3,1
6767,18.33,107.9,126.23,1,1
22718,9.47,167.68,439.05,3,1
80410,7.39,13.99,42.76,2,1
14998,21.71,89.9,111.61,1,1
60242,23.11,137.9,161.01,2,1
73378,8.27,39.9,48.17,1,1
67591,13.84,169.0,182.84,6,1
72854,135.4,550.0,685.4,8,1
37552,29.7,109.9,141.37,8,2
110504,17.63,19.9,37.53,1,1
49099,10.18,108.9,119.08,2,1
13590,12.13,89.9,408.12,8,1
27183,15.1,25.9,123.0,1,1
30263,8.88,44.9,53.78,4,1
95608,7.78,28.9,66.45,1,1
84476,28.82,59.9,88.72,4,1
104179,23.79,131.0,154.79,1,1
46817,19.73,109.0,128.73,2,1
7164,12.69,12.99,154.08,1,1
65175,26.67,199.0,225.67,2,1
15881,14.55,219.0,233.55,5,1
35805,58.67,286.4,345.07,10,1
103678,18.23,27.9,46.13,1,1
62204,28.11,177.9,206.01,3,1
60569,8.29,47.75,56.04,1,1
19518,19.75,79.99,99.74,1,1
60568,42.95,132.01,174.96,1,1
50284,18.95,455.0,473.95,15,1
4851,11.74,44.55,56.29,2,1
86271,26.46,120.0,146.46,2,1
77203,18.8,79.9,98.7,1,1
62139,55.65,59.9,115.55,1,1
4129,15.1,38.4,160.5,10,1
44359,15.31,79.99,95.3,9,1
99431,8.29,13.65,21.94,1,1
111925,31.74,480.0,1535.22,1,1
106331,26.75,49.0,172.74,2,1
89492,14.64,79.0,93.64,1,1
70730,7.78,23.99,31.77,2,1
44719,21.54,149.9,171.44,8,1
101374,26.43,49.9,152.66,1,1
35174,33.82,48.0,18.85,1,1
5181,8.79,10.99,34.11,1,2
7473,16.41,16.75,68.31,1,1
47637,14.9,219.99,234.89,1,1
70892,17.63,19.99,37.62,1,1
49566,18.97,199.9,218.87,10,1
77174,20.51,99.0,29.76,1,2
36238,7.4,114.9,608.49,10,1
21970,10.01,84.9,94.91,1,1
76194,9.26,128.9,138.16,1,1
60016,16.79,19.9,73.38,1,1
100937,19.39,59.9,79.29,1,1
2143,38.97,229.0,267.97,5,1
106847,9.09,29.9,30.0,1,2
58347,10.12,100.0,2202.4,1,1
30958,15.46,19.9,96.68,4,1
3030,19.44,35.0,163.32,4,1
100018,18.02,65.0,83.02,1,1
30069,17.6,44.9,62.5,3,1
91716,19.32,47.9,67.22,3,1
48525,18.33,64.99,83.32,1,1
103350,7.78,50.0,57.78,2,1
49286,13.81,139.99,153.8,2,1
97850,19.04,24.99,44.03,1,1
107249,12.79,50.0,62.79,2,1
4050,12.73,118.0,130.73,1,1
94499,25.63,12.97,38.6,1,1
65104,7.65,55.0,62.65,1,1
51345,15.31,219.99,175.3,2,1
98025,22.06,18.9,40.96,1,1
54373,7.78,13.99,1.77,1,1
10259,51.48,169.99,221.47,3,1
9914,33.62,189.0,222.62,6,1
47451,19.66,99.0,118.66,2,1
66996,16.25,213.9,230.15,8,1
111632,7.39,15.9,23.29,1,1
99482,15.23,13.65,28.88,1,1
36842,17.95,99.9,235.7,5,1
7756,16.18,59.9,152.16,1,1
41995,33.8,158.6,335.19,8,1
77577,14.84,220.0,234.84,2,1
64675,17.63,49.0,66.63,3,1
39196,11.85,26.0,37.85,1,1
45725,8.88,26.9,35.78,3,1
67800,28.72,190.83,413.83,5,1
48964,87.93,329.9,165.93,10,2
34465,39.49,139.99,179.48,1,1
39898,11.98,69.97,81.95,2,1
77782,15.1,29.99,45.09,3,1
97565,16.21,293.0,927.63,1,1
68600,15.78,80.0,292.17,8,1
742,38.5,139.99,178.49,2,1
46838,12.12,88.9,101.02,5,1
84997,2.24,59.9,372.84,3,1
24186,27.21,109.99,137.2,2,1
97227,40.96,94.99,135.95,9,1
7215,15.45,99.9,115.35,1,1
96094,9.73,219.99,229.72,2,1
80860,9.48,245.0,254.48,5,1
75331,24.52,370.0,394.52,3,1
40184,9.34,45.9,25.58,1,1
85477,34.35,59.9,345.19,3,1
14545,9.95,198.0,207.95,1,1
104014,14.27,120.0,134.27,1,1
105164,9.1,76.89,85.99,1,1
84316,17.67,59.9,387.85,1,1
45083,17.32,58.99,76.31,1,1
85602,17.02,49.9,234.79,1,1
18981,16.57,115.0,131.57,3,1
50675,18.21,89.99,108.2,2,1
81649,15.17,59.9,75.07,1,1
91285,15.27,23.9,39.17,1,1
27826,20.08,85.0,105.08,3,1
94619,21.46,170.0,191.46,1,1
73451,11.85,118.44,130.29,6,1
79613,15.26,53.99,6.67,1,4
81116,19.03,132.2,151.23,3,1
5448,19.32,45.0,64.32,1,1
26424,12.79,37.47,50.26,1,1
17681,8.72,49.99,58.71,1,1
17860,37.77,249.99,287.76,5,1
24157,13.37,50.0,63.37,1,1
962,40.23,119.99,160.22,7,1
23595,32.85,49.9,164.79,5,1
87068,7.78,18.51,59.71,4,1
42466,18.78,79.0,97.78,3,1
51723,17.48,148.0,165.48,2,1
94555,25.54,170.0,391.08,6,1
62879,18.57,98.0,116.57,1,1
107708,8.72,79.99,88.71,1,1
70106,17.26,29.9,160.0,7,1
40625,13.2,122.9,136.1,10,1
60457,18.23,28.9,47.13,1,1
89311,17.8,79.0,96.8,1,1
87847,1.2,51.0,783.0,10,1
60507,16.96,250.0,266.96,3,1
7578,17.92,169.0,5.48,1,4
38641,11.85,21.9,33.75,1,1
62098,26.76,385.0,411.76,5,1
20947,26.96,59.99,173.9,2,1
61548,18.09,119.99,138.08,1,1
67604,13.45,144.0,157.45,3,1
103581,11.71,98.99,110.7,2,1
25586,55.57,159.99,322.5,2,1
36570,9.26,39.9,49.16,1,1
53825,16.32,79.99,96.31,3,1
84151,17.67,59.9,77.57,3,1
71867,30.11,122.99,153.1,1,1
58041,14.32,185.1,398.84,1,1
35668,11.88,69.9,81.78,8,1
62596,26.69,1899.12,1925.81,10,1
57928,12.76,89.5,102.26,1,1
4024,15.1,10.0,150.6,10,1
82133,16.19,62.0,78.19,7,1
25529,18.38,39.9,58.28,1,1
75345,30.71,207.9,238.61,8,1
61802,19.99,299.99,219.98,10,1
72260,18.25,53.49,71.74,1,1
13735,23.07,69.8,92.87,1,1
91587,11.85,39.9,51.75,1,1
29130,16.13,71.0,87.13,4,1
34639,16.33,99.9,116.23,5,1
110329,7.71,40.0,47.71,1,1
6266,41.39,89.9,131.29,3,1
100767,12.07,81.99,94.06,5,1
99891,15.23,19.9,35.13,1,1
23029,35.81,69.9,105.71,1,1
56080,22.36,61.4,83.76,1,1
12650,15.1,19.79,34.89,1,1
98193,42.38,19.9,62.28,6,1
21229,19.08,55.0,74.08,1,1
110205,15.1,19.95,35.05,3,1
77523,19.52,79.0,98.52,1,1
47846,17.75,70.97,78.01,1,2
39487,19.72,69.2,88.92,3,1
59920,17.0,25.9,42.9,1,1
38778,23.27,66.55,89.82,1,1
4103,17.27,359.7,753.94,1,1
52539,27.99,55.9,167.51,1,1
10963,17.53,117.3,134.83,1,1
23445,9.27,37.9,47.17,1,1
111928,78.93,234.9,627.66,10,1
98753,20.05,189.9,209.95,1,1
63980,15.52,108.0,123.52,1,1
61131,7.39,12.88,20.27,1,1
102003,22.82,158.0,180.82,6,1
2888,12.89,78.0,818.01,5,1
101342,19.39,59.99,79.38,1,1
70657,15.1,19.99,35.09,1,1
33456,12.48,39.9,104.76,5,1
55314,15.1,24.98,120.24,8,1
49071,27.61,217.9,245.51,5,1
17502,14.13,54.9,69.03,1,1
23754,10.33,69.99,2.27,1,1
45934,13.41,138.5,151.91,5,1
30777,12.43,68.0,80.43,3,1
38904,37.32,90.0,127.32,3,1
105404,16.32,29.0,45.32,1,1
109854,18.65,199.7,218.35,3,1
69556,16.42,238.0,254.42,2,1
56728,16.24,213.39,229.63,3,1
39918,16.11,38.0,108.22,4,1
23771,23.36,79.99,103.35,5,1
111696,15.17,59.9,75.07,1,1
23971,12.74,56.99,69.73,1,1
19294,25.39,21.33,78.43,7,1
60350,14.07,149.9,327.94,4,1
21111,8.11,23.8,31.91,3,1
24710,14.22,91.99,106.21,3,1
100761,27.66,339.9,117.56,5,1
28762,26.13,579.8,605.93,4,1
94362,26.45,1224.99,1251.44,10,1
18726,37.96,59.0,96.96,1,1
72343,17.02,325.0,342.02,7,1
26940,18.23,26.15,44.38,4,1
98951,18.25,21.9,40.15,1,1
105098,7.39,14.9,22.29,1,1
22004,17.42,139.9,157.32,3,1
23967,24.75,132.68,157.43,1,1
94577,21.46,170.0,191.46,1,1
61124,19.42,189.0,208.42,1,1
75613,19.63,94.0,113.63,3,1
102944,19.32,29.49,48.81,1,1
22450,19.73,69.9,89.63,1,1
46855,12.79,17.99,30.78,1,1
37815,12.94,39.99,52.93,1,1
79284,7.78,18.9,26.68,2,1
57452,18.23,35.9,54.13,1,1
44911,9.34,29.9,78.48,7,1
74260,17.52,395.0,139.99,1,2
18960,16.61,139.9,156.51,2,1
12257,29.34,134.9,164.24,3,1
109709,17.84,84.9,102.74,3,1
85047,17.67,59.9,77.57,2,1
13413,15.1,28.5,87.2,1,1
31737,21.98,97.0,118.98,2,1
35804,37.51,286.4,323.91,8,1
56012,37.37,65.9,206.54,1,1
49171,24.9,250.0,274.9,5,1
37709,11.92,75.7,87.62,7,1
80449,7.78,13.99,43.54,1,1
36934,18.23,44.9,63.13,1,1
10317,51.48,139.9,191.38,1,1
10779,17.54,89.9,107.44,2,1
8936,47.67,99.0,146.67,5,1
36805,18.09,119.9,137.99,1,1
78319,12.93,49.9,62.83,1,1
28809,12.79,39.0,51.79,1,1
40466,10.0,122.9,265.8,1,1
56085,18.53,61.4,79.93,3,1
21428,15.31,79.0,94.31,1,1
103369,15.1,39.9,55.0,1,1
102495,9.6,200.5,210.1,4,1
7123,14.52,29.99,89.02,1,1
23170,24.19,189.0,213.19,4,1
102759,17.98,56.9,74.88,1,1
491,23.2,69.99,186.38,1,1
77849,15.8,99.9,115.7,1,1
78075,25.49,184.9,20.45,1,4
91145,16.96,98.9,115.86,1,1
68138,8.03,109.9,117.93,5,1
39018,16.13,53.0,69.13,2,1
87807,61.34,205.0,266.34,1,1
93115,7.78,21.99,29.77,1,1
1137,19.51,89.98,100.0,1,2
19438,19.71,105.0,124.71,1,1
31620,20.02,118.13,0.81,1,2
91157,17.3,79.61,387.64,1,1
18342,33.86,209.0,485.72,1,1
55901,13.6,67.9,81.5,4,1
70242,8.27,75.49,83.76,1,1
10577,27.22,69.99,97.21,1,1
89886,18.5,49.9,68.4,1,1
33046,8.27,35.99,44.26,4,1
74278,34.78,139.65,174.43,1,1
97336,8.29,49.6,34.9,1,2
1449,31.68,259.9,291.58,1,1
80898,15.01,179.9,389.82,4,1
79100,15.54,255.0,270.54,10,1
21789,11.85,21.05,32.9,1,1
38957,12.81,53.0,198.13,8,1
94520,7.39,16.97,24.36,2,1
46777,17.64,55.0,72.64,3,1
27093,15.12,52.9,68.02,1,1
54804,13.65,89.9,103.55,1,1
80697,11.03,259.0,270.03,1,1
85634,17.6,49.9,67.5,1,1
32834,76.61,259.0,335.61,1,1
96379,10.96,39.9,50.86,5,1
4556,13.52,70.91,84.43,5,1
41485,15.12,53.2,68.32,1,1
19864,9.07,160.0,100.0,1,2
63531,17.0,79.99,96.99,2,1
33446,23.52,133.9,157.42,6,1
86507,23.15,50.0,73.15,1,1
36278,12.14,149.9,162.04,10,1
108522,14.39,94.9,218.58,8,1
55065,44.64,119.99,164.63,1,1
78362,8.72,35.0,43.72,1,1
96265,11.38,110.0,121.38,1,1
48593,20.86,52.9,73.76,1,1
103603,22.06,27.9,49.96,4,1
85607,17.64,49.0,66.64,1,1
88600,33.27,193.0,198.86,1,1
54002,18.08,119.0,137.08,4,1
36211,21.21,199.9,383.25,10,1
65854,15.09,19.9,104.99,3,1
82082,35.87,79.0,229.74,5,1
102584,24.84,39.99,324.15,3,1
33571,24.96,125.4,150.36,3,1
11051,15.94,169.0,184.94,2,1
102018,18.25,19.0,81.49,3,1
21599,16.11,29.5,273.66,1,1
84061,11.76,53.9,286.12,1,1
60993,17.48,389.0,406.48,5,1
98367,13.47,18.9,32.37,2,1
2062,21.71,39.9,163.31,1,1
102615,11.85,44.0,335.1,1,1
24775,34.95,169.9,204.85,4,1
45001,23.16,99.9,123.06,1,1
93612,14.1,19.9,34.0,1,1
26337,12.69,38.97,51.66,1,1
50589,24.48,229.99,254.47,1,1
95087,12.79,25.77,38.56,3,1
19484,12.79,36.9,49.69,2,1
63911,19.7,105.0,124.7,1,1
3580,16.11,38.4,117.93,6,1
20423,23.63,99.49,123.12,5,1
78558,8.88,39.89,48.77,1,1
61528,23.14,79.99,103.13,4,1
15359,8.61,123.49,132.1,1,1
27893,18.3,150.0,168.3,3,1
40066,23.37,72.0,95.37,1,1
19218,8.88,59.99,68.87,5,1
93081,7.78,17.99,25.77,1,1
97040,14.51,28.0,42.51,2,1
89231,17.94,99.0,100.0,1,2
68543,10.59,429.9,440.49,8,1
49563,16.78,145.9,162.68,5,1
74981,15.1,19.9,15.0,1,1
76744,18.35,299.99,318.34,3,1
10312,41.48,169.99,211.47,1,1
66000,13.51,759.0,772.51,3,1
97963,23.4,86.0,109.4,10,1
96440,21.14,142.99,656.52,6,1
6152,52.98,88.34,141.32,2,1
2040,18.14,79.9,98.04,5,1
6763,7.78,21.9,29.68,1,1
69233,9.35,76.9,86.25,1,1
94680,10.59,289.0,599.18,24,1
61735,12.13,89.9,408.12,9,1
59493,14.43,99.99,114.42,1,1
8034,17.34,89.9,107.24,2,1
78925,17.16,129.78,146.94,1,1
103530,8.74,82.49,91.23,1,1
58912,1.7,88.0,194.08,1,1
43641,22.2,159.9,182.1,10,1
25455,38.08,388.0,426.08,3,1
53831,18.23,34.9,53.13,2,1
34926,16.24,86.9,103.14,2,1
80601,13.79,109.99,123.78,4,1
77346,13.05,66.9,79.95,1,1
45767,16.02,55.9,71.92,7,1
20298,16.79,49.9,66.69,1,1
108084,22.69,229.9,200.0,1,2
49369,21.89,199.9,221.79,10,1
70430,15.38,89.99,55.37,3,1
46447,7.78,44.9,52.68,1,1
102256,14.1,17.99,32.09,3,1
90412,22.67,18.42,20.0,1,2
32590,67.14,78.71,145.85,3,1
100454,12.77,61.9,46.25,1,2
57630,22.85,27.9,50.75,1,1
28021,14.77,97.0,335.31,1,1
7864,3.06,33.0,376.51,4,1
94157,22.06,24.99,99.1,9,1
13614,18.93,149.9,168.83,1,1
28331,101.78,98.3,42.06,1,3
37072,19.94,99.9,119.84,1,1
42021,15.27,74.9,90.17,2,1
17537,15.72,124.9,140.62,2,1
46327,10.66,35.9,46.56,1,1
97705,11.85,9.15,21.0,1,1
51170,25.46,129.99,155.45,10,1
15777,12.3,113.9,126.2,6,1
73307,12.63,89.9,102.53,8,1
74110,19.46,110.32,129.78,2,1
24899,14.7,139.0,153.7,5,1
8216,11.83,89.9,101.73,7,1
15750,35.97,119.9,155.87,1,1
16355,16.75,159.9,353.3,6,1
6597,20.08,199.0,388.17,3,1
86311,50.71,120.0,170.71,10,1
77919,12.48,29.9,42.38,2,1
85606,17.67,59.9,77.57,1,1
2660,7.05,49.0,112.1,1,1
9093,26.95,99.0,125.95,1,1
25155,13.78,90.0,103.78,2,1
105135,8.51,179.9,188.41,2,1
68017,16.19,348.8,364.99,3,1
74350,18.93,149.65,168.58,1,1
6755,15.87,94.9,110.77,1,1
55764,15.35,34.99,40.79,4,1
56454,19.14,180.0,199.14,1,1
39105,17.6,39.99,57.59,3,1
66823,19.11,175.0,20.0,1,2
90865,7.74,44.0,141.31,1,1
109303,17.98,58.9,76.88,2,1
77458,22.99,100.99,123.98,1,1
53477,22.34,119.99,103.79,1,2
7623,14.52,40.0,54.52,1,1
14180,17.83,83.41,101.24,1,1
68721,18.12,120.0,138.12,1,1
72163,7.39,47.65,110.08,2,1
31333,18.84,98.0,116.84,1,1
58558,36.85,217.9,254.75,1,1
96935,11.85,37.9,298.5,2,1
85452,28.82,59.9,177.44,1,1
84167,21.35,53.9,75.25,1,1
108467,11.39,379.0,1951.95,10,1
102622,64.15,299.0,363.15,6,1
65148,15.14,55.0,70.14,7,1
24963,14.5,109.9,124.4,1,1
112095,60.21,849.99,910.2,1,1
57653,16.79,27.9,44.69,1,1
75548,8.54,54.9,63.44,1,1
60349,14.07,149.9,327.94,4,1
92180,7.78,43.99,51.77,1,1
67079,22.62,98.0,120.62,1,1
96549,12.76,42.0,54.76,1,1
47125,8.91,99.99,217.8,5,1
79647,21.18,53.99,75.17,3,1
13529,11.57,137.0,148.57,2,1
64181,7.8,78.0,85.8,2,1
71840,53.21,122.99,176.2,8,1
16884,18.05,114.9,132.95,3,1
81839,18.51,58.9,77.41,2,1
6117,12.47,180.0,192.47,3,1
6815,19.88,38.5,58.38,1,1
1419,33.63,289.9,323.53,1,1
8311,17.92,49.9,135.64,2,1
101399,17.26,49.9,268.64,1,1
12734,15.47,79.9,95.37,1,1
3548,12.69,38.4,100.0,1,2
104634,33.87,412.0,445.87,9,1
34259,15.78,230.0,245.78,8,1
67654,13.73,318.0,331.73,8,1
